,Return,Risk,Sharpe,Weights
0,0.1297426106661045,0.11978457591167029,1.0831328631307033,"[0.14564816574453193, 0.1623558717241962, 0.19758002657940896, 0.1577887159253699, 0.10259870569013627, 0.11806633396549995, 0.06561281132564643, 0.050349369045210375]"
1,0.21547894317684857,0.14196071205700422,1.517877306013534,"[0.1705203629848706, 0.13901826243119783, 0.13744203048167883, 0.12712531974569816, 0.009256639469815258, 0.036403803621937965, 0.15232232417432143, 0.22791125709047996]"
2,0.22648327760567022,0.1286929761317211,1.7598728727343895,"[0.2294723659207026, 0.20481785863141722, 0.04064694068502723, 0.10652440248510785, 0.07341019507372203, 0.2541933917231606, 0.02155631257883414, 0.06937853290202839]"
3,0.0833572761894467,0.12083277900691158,0.68985648492516,"[0.07391752874360488, 0.20323822122029295, 0.1396854715823345, 0.13452075139426212, 0.038873444145845135, 0.20204117024103727, 0.13460603856902842, 0.07311737410359458]"
4,0.18041933737199356,0.126121402333362,1.4305211806566513,"[0.0829356009363147, 0.16859743747840328, 0.14222519128443475, 0.1786119165240232, 0.053859649739904855, 0.13687675947961264, 0.04120018176921622, 0.1956932627880904]"
5,0.07837310174129075,0.12083694379211,0.6485856004114537,"[0.009131044366227413, 0.13403129766744287, 0.1494267919088435, 0.0993048258530102, 0.11280450245675536, 0.0686741549525968, 0.23755739421470545, 0.18906998858041843]"
6,0.16742775965073345,0.1306714957348982,1.28128754254413,"[0.15642092658855405, 0.16310310865037156, 0.09555170312123996, 0.21230894594690314, 0.0746303884811544, 0.07237771690033251, 0.07622205051257475, 0.1493851597988697]"
7,0.20171297671833488,0.12308633880220915,1.6387925636692553,"[0.10687879652754954, 0.21747358169165937, 0.05244869529837443, 0.0895357844206542, 0.1807514919138289, 0.10384892859042306, 0.0633259463586227, 0.18573677519888782]"
8,0.017396134117806994,0.12703082566344448,0.1369441946626114,"[0.0203441613823963, 0.11136714865811073, 0.2614243672654341, 0.20905115211504338, 0.21454659584609126, 0.0249919386552246, 0.11430050448160799, 0.04397413159609158]"
9,0.2128065632464689,0.12488756149004412,1.7039852544757514,"[0.08669402924742808, 0.16160333895814374, 0.21663371408403312, 0.1143159103831774, 0.09259813261942966, 0.1389424044687146, 0.003918424719096244, 0.1852940455199771]"
10,0.17638338563539313,0.12459893765559645,1.4156090650061073,"[0.07634079420696524, 0.1308451922498465, 0.07470994972162294, 0.16698195400696936, 0.13028409435673, 0.16726548034094216, 0.058982469332162425, 0.19459006578476137]"
11,0.1692439679630025,0.12471766730801469,1.3570167853205706,"[0.2227272109434498, 0.09398438393666302, 0.16084754865580594, 0.20772591039389085, 0.18136373400099093, 0.07071047789439049, 0.024233281050486447, 0.0384074531243226]"
12,0.1475303701977644,0.1222594900344174,1.2066987205347657,"[0.07726149376926476, 0.18183676142067098, 0.12656569495074796, 0.09493814607934943, 0.049419404952205384, 0.12694827241393367, 0.15904372085543567, 0.1839865055583921]"
13,0.21652199664549016,0.12728802896903144,1.7010397474075816,"[0.1985252319892095, 0.07392561603704656, 0.17174451179491682, 0.15649410471119798, 0.08660063075950383, 0.22961078170068788, 0.0009542817511985889, 0.08214484125623887]"
14,0.15311446371101534,0.11746938647593592,1.3034414182658685,"[0.17106920140908743, 0.14301941787581354, 0.22776505628000437, 0.09402517323367054, 0.20798814404300783, 0.058245920591214036, 0.06418350236221937, 0.03370358420498303]"
15,0.1918863111651439,0.12364354703708753,1.5519314655991436,"[0.11865754813955028, 0.1367120201251363, 0.20692716614507556, 0.11552860096018895, 0.09309757536942655, 0.12168442628075914, 0.05486938061655173, 0.15252328236331147]"
16,0.20226030458242547,0.12393081445321079,1.632042083115555,"[0.016797305626739898, 0.18311978170862783, 0.17669630077354775, 0.12025281090621776, 0.12765377079887102, 0.09298653315043019, 0.022075238248915247, 0.2604182587866502]"
17,0.254939135317671,0.13559380205862698,1.8801680567039665,"[0.037847966333636136, 0.3069020006754334, 0.0581899515400671, 0.10094781691056905, 0.10741999393399769, 0.06128466482515419, 0.001841462737371892, 0.3255661430437706]"
18,0.15283388810430387,0.12670481034611292,1.2062200928821527,"[0.15928614180731845, 0.1171674840939615, 0.12534902768748402, 0.16526714176847773, 0.14004778898530962, 0.04013061075467136, 0.12513567359791472, 0.12761613130486246]"
19,0.037998094565374646,0.1296942187054653,0.29298217719070474,"[0.045126663909875575, 0.2231784853910803, 0.059918748014612715, 0.20118459899179594, 0.009210640463320237, 0.10543972182821511, 0.22190538471583288, 0.13403575668526724]"
20,0.11355060755443114,0.12981923242071755,0.874682475293313,"[0.09454354874157021, 0.052078676903622306, 0.14655304504180108, 0.1791109572021307, 0.05349442427253938, 0.1070621694541841, 0.19857953075086468, 0.16857764763328761]"
