,GOLDBEES.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,NIFTYBEES.NS,RELIANCE.NS,TCS.NS,Gold
GOLDBEES.NS,0.08629224781574808,0.001984990454353282,0.005843278458146245,-0.007742861968633697,0.0006319828659241106,-0.001847827310252337,-0.007261197731606741,0.08629224781574808
HDFCBANK.NS,0.001984990454353282,0.023723416074589537,0.015649911406089234,0.010112809428358377,0.013113629228611291,0.013678310690392758,0.007761151212950501,0.001984990454353282
ICICIBANK.NS,0.005843278458146245,0.015649911406089234,0.030984878850322754,0.007675839336527374,0.013157617839860636,0.008848757920464436,0.006568835440332149,0.005843278458146245
INFY.NS,-0.007742861968633697,0.010112809428358377,0.007675839336527374,0.06673803568409929,0.013678059238709964,0.013742287243044018,0.042197335630387536,-0.007742861968633697
NIFTYBEES.NS,0.0006319828659241106,0.013113629228611291,0.013157617839860636,0.013678059238709964,0.013344476535389971,0.015456343502690463,0.011780469753824399,0.0006319828659241106
RELIANCE.NS,-0.001847827310252337,0.013678310690392758,0.008848757920464436,0.013742287243044018,0.015456343502690463,0.040032275610718274,0.012045771877263722,-0.001847827310252337
TCS.NS,-0.007261197731606741,0.007761151212950501,0.006568835440332149,0.042197335630387536,0.011780469753824399,0.012045771877263722,0.0448193449436189,-0.007261197731606741
Gold,0.08629224781574808,0.001984990454353282,0.005843278458146245,-0.007742861968633697,0.0006319828659241106,-0.001847827310252337,-0.007261197731606741,0.08629224781574808
