Date,GOLDBEES.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,NIFTYBEES.NS,RELIANCE.NS,TCS.NS
2025-03-10,72.16999816894531,832.4971313476562,1205.5478515625,1652.5440673828125,251.75,1233.4736328125,3469.738525390625
2025-03-11,72.08000183105469,831.510498046875,1235.864013671875,1613.8394775390625,252.0800018310547,1242.3382568359375,3455.8681640625
2025-03-12,72.31999969482422,844.1644897460938,1234.425048828125,1545.123046875,251.74000549316406,1252.0494384765625,3389.076416015625
2025-03-13,72.81999969482422,841.9197387695312,1240.4783935546875,1534.439208984375,251.05999755859375,1242.9359130859375,3393.764404296875
2025-03-17,73.52999877929688,843.7944946289062,1259.2833251953125,1544.34619140625,252.17999267578125,1233.9217529296875,3380.8603515625
2025-03-18,73.52999877929688,843.7944946289062,1259.2833251953125,1544.34619140625,252.17999267578125,1233.9217529296875,3380.8603515625
2025-03-19,74.25,860.4197387695312,1303.0455322265625,1540.94677734375,256.70001220703125,1242.1888427734375,3380.2802734375
2025-03-20,74.48999786376953,872.580322265625,1311.5797119140625,1569.1131591796875,259.32000732421875,1264.101318359375,3444.123779296875
2025-03-21,73.94999694824219,873.3696899414062,1332.81591796875,1546.7742919921875,261.0899963378906,1271.2725830078125,3458.574951171875
2025-03-24,73.0,887.9969482421875,1347.750732421875,1546.968505859375,264.8999938964844,1296.920166015625,3507.7255859375
2025-03-25,73.2300033569336,898.5789184570312,1333.4112548828125,1581.6422119140625,264.7300109863281,1280.33642578125,3535.563720703125
2025-03-26,73.25,891.2283325195312,1325.6710205078125,1553.475830078125,262.8999938964844,1267.98583984375,3514.346923828125
2025-03-27,73.80000305175781,900.5029296875,1326.415283203125,1557.4581298828125,263.7300109863281,1273.115234375,3529.232666015625
2025-03-28,74.16000366210938,901.9088745117188,1338.025634765625,1525.5037841796875,263.2099914550781,1270.027587890625,3485.6875
2025-04-01,76.72000122070312,872.1363525390625,1308.3546142578125,1482.6226806640625,259.6000061035156,1247.6170654296875,3432.1865234375
2025-04-02,76.2300033569336,886.4676513671875,1321.056640625,1505.593017578125,261.6400146484375,1246.1729736328125,3425.565673828125
2025-04-03,75.8499984741211,885.456298828125,1319.3697509765625,1453.485107421875,260.4599914550781,1243.732666015625,3289.46826171875
