Date,GOLDBEES.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,NIFTYBEES.NS,RELIANCE.NS,TCS.NS,Gold
2025-03-11,-0.0012470048520709653,-0.001185149189864565,0.02514720761194389,-0.023421214966477533,0.001310831503692933,0.007186715457569104,-0.003997523509804979,-0.0012470048520709653
2025-03-12,0.003329604018768695,0.015218078098763188,-0.0011643391407398784,-0.0425794706477548,-0.001348763628296279,0.007816857918678366,-0.019327053254357573,0.003329604018768695
2025-03-13,0.00691371684333375,-0.002659139307361391,0.004903776646714375,-0.006914554741923595,-0.002701231110399882,-0.007278886208929469,0.0013832642601672163,0.00691371684333375
2025-03-17,0.009750056130845008,0.002226763161670142,0.015159418929287405,0.006456418973047606,0.004461065594195901,-0.007252312899922453,-0.003802283009992413,0.009750056130845008
2025-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-19,0.009791938428616476,0.019702954032589037,0.03475167673205126,-0.00220119949880182,0.017923783260082926,0.006699849341436304,-0.00017157707349013673,0.009791938428616476
2025-03-20,0.0032322944615426064,0.014133315343839437,0.006549410190538341,0.018278620812907098,0.010206447185808543,0.017640212849612702,0.018887045065778096,0.0032322944615426064
2025-03-21,-0.007249307705914032,0.0009046361184625873,0.01619131941565044,-0.014236619619695579,0.0068255011710642854,0.005673014136038379,0.004195892134268853,-0.007249307705914032
2025-03-24,-0.01284647717980425,0.016748071829424838,0.011205459247430216,0.00012556057350643357,0.014592660048388106,0.02017473148609139,0.014211238865582843,-0.01284647717980425
2025-03-25,0.0031507309168985476,0.011916674078431333,-0.010639562045197226,0.022413970241382142,-0.000641687104842581,-0.012787017018420888,0.007936235057049101,0.0031507309168985476
2025-03-26,0.0002730662590433308,-0.008180234130266362,-0.00580483653985675,-0.017808314436582484,-0.006912767778105344,-0.009646359885421396,-0.006000965772660627,0.0002730662590433308
2025-03-27,0.007508574085430819,0.010406533129113216,0.0005614233726158879,0.0025634771572127235,0.0031571590304813046,0.004045309001149411,0.004235706522475402,0.007508574085430819
2025-03-28,0.004878056849118018,0.0015612884510065594,0.008753179874754213,-0.02051698539435487,-0.001971787470470887,-0.0024252686646160093,-0.012338423146464272,0.004878056849118018
2025-04-01,0.034519922224622634,-0.03301056549507253,-0.02217522574820463,-0.028109470432211014,-0.01371522916590584,-0.017645697364857216,-0.015348758763515047,0.034519922224622634
2025-04-02,-0.0063868333677411515,0.01643240622455666,0.009708397271479097,0.015493042979602967,0.007858276182429735,-0.001157479996779065,-0.0019290471436103074,-0.0063868333677411515
2025-04-03,-0.00498497790998631,-0.0011408792385178002,-0.0012769245440069632,-0.034609558856795175,-0.0045101021529331264,-0.0019582414871938125,-0.03972990888751049,-0.00498497790998631
2025-04-04,-0.011338175710642662,0.012508102808265864,0.004324741122012421,-0.029969891533936033,-0.012669845278474923,-0.035236730882516665,-0.030486366661120035,-0.011338175710642662
2025-04-07,-0.015468676700353456,-0.032796063660856634,-0.03575976829153704,-0.03781906650158873,-0.031342345014056194,-0.03237320012537581,-0.0076831337362403,-0.015468676700353456
2025-04-08,-0.0020317150502332515,0.006514305125184139,0.009591809262139872,0.02294613852284555,0.014532296380929122,0.014154659879601628,0.005772559148345513,-0.0020317150502332515
2025-04-09,0.0164223544986557,-0.002345801522980695,0.0006924228012925582,-0.017567281209237007,-0.006687252426571311,0.0026645084100167526,-0.01407547017563826,0.0164223544986557
2025-04-11,0.04019231086609576,0.0236544169281383,0.008340961704316863,0.004096311949331355,0.019678932659157766,0.02834603302253491,-0.0046509782473818095,0.04019231086609576
2025-04-15,-0.0030808454309182443,0.032184884980663186,0.02939041497878314,0.01174220526535108,0.019142844368936318,0.017351043116696552,0.005167862116142619,-0.0030808454309182443
2025-04-16,0.02021632269881324,0.00702450716034142,0.004591958287722964,-0.00904634878821764,0.003986692852333107,-0.0006450569141414064,0.007881221039502506,0.02021632269881324
2025-04-17,0.003786386591602131,0.015282161735410194,0.037083413329667136,0.004529156461396733,0.017677846657532248,0.028403098904663304,0.007666987821821181,0.003786386591602131
2025-04-21,0.019363773911288407,0.010699113012073935,0.002203848751369586,0.02219093406167727,0.0118556447842868,0.016476986482864886,0.006881061977257241,0.019363773911288407
2025-04-22,0.02257310765934939,0.017954439509512365,0.004752435092910456,-0.0194348548557427,0.0012976476458919084,-0.003319137245686554,-0.0021675498960405104,0.02257310765934939
2025-04-23,-0.03027746791351893,-0.01926901507209733,0.005577103558739305,0.03661790756883443,0.006554414409405407,0.006815381959146771,0.029748927930860924,-0.03027746791351893
2025-04-24,0.0014927571525455985,-0.0036903888094409476,-0.01523454967805582,-0.0023730540092197216,-0.0032006294376624167,0.0012307636032609093,-0.003340126468049043,0.0014927571525455985
2025-04-25,-0.005962033836757086,-0.002921576166589168,0.0014971588009118353,0.005980657611814877,-0.00856249204538162,-0.00092191447484824,0.013640587938632764,-0.005962033836757086
2025-04-28,-0.012245354773047668,0.004709102164633272,0.01708431976030833,0.0012835755147759809,0.012172836072792403,0.05259921775599641,-0.0013051568308884987,-0.012245354773047668
2025-04-29,0.012523691657814862,-0.005936862294536049,0.0006998644093421102,0.010390697378602765,3.6814144353414235e-05,0.022574441711784132,0.008421733775306306,0.012523691657814862
2025-04-30,-0.011869122523366027,0.008486976406088864,-0.001958318664440739,0.0017362285527053878,0.00029416561063722035,0.0037865358682445116,-0.005414004839749187,-0.011869122523366027
2025-05-02,-0.008977103519380303,-0.0016102925038006255,0.002172325027408384,0.004533080174566884,-0.000808857783749839,0.0105338689707426,-0.006572642571925913,-0.008977103519380303
2025-05-05,0.015310087008001183,0.007752685520943103,-0.0004894339889455201,0.0011280517657743516,0.009640599553594642,0.008099711223408246,0.006790967000926962,0.015310087008001183
2025-05-06,0.03204316868170998,-0.002633273078652354,0.001539072687191334,0.0019224003419748836,-0.006523592147532509,-0.007266131195719505,0.0016501689982761913,0.03204316868170998
2025-05-07,-0.01034942776752279,0.007195788192466912,0.002654438080926802,-0.002117110352662155,0.0006970008699636043,-0.010486376706539735,-0.004306380519730868,-0.01034942776752279
2025-05-08,-0.004183025873484958,-0.00878906560497128,6.96732129206179e-05,0.002055273311353245,-0.006415190971746365,0.0007112888248419491,0.0011029526858665761,-0.004183025873484958
2025-05-09,-0.0017296687104720876,-0.020119293732347665,-0.032462541688543345,-0.002514240153966174,-0.009408272690945685,-0.021179860130747574,-0.0024934098241680136,-0.0017296687104720876
2025-05-12,-0.03490098500389682,0.035720000387587714,0.04291159071909223,0.07913246116155648,0.038921421978931336,0.04305836840007893,0.05234998841473315,-0.03490098500389682
2025-05-13,0.013977895498432424,-0.017678378967796227,-0.012357611339645969,-0.035835114916147326,-0.011794681709780819,-0.014479658083635383,-0.02911273874872211,0.013977895498432424
2025-05-14,-0.006197013603904233,-0.006241487228413334,-0.00307564941913141,0.015172809993738268,0.003337614540560807,0.006145466662176524,0.009587469491247003,-0.006197013603904233
2025-05-15,-0.019597873245642217,0.012142801731333419,0.01724870773341669,0.012936483488017902,0.013016617884004322,0.020921047503038803,0.00879186375554264,-0.019597873245642217
2025-05-16,0.009605371949319208,0.00046537474951069413,0.002205622187170464,-0.014321149494393226,0.00014269202779648715,0.0015128840393894283,-0.005195630956957742,0.009605371949319208
